"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2024","23,677.70","23,754.90","23,800.59","23,603.85","276.23M","-0.10%"
"09/16/2024","23,702.07","23,583.09","23,721.61","23,548.71","267.64M","0.57%"
"09/13/2024","23,568.65","23,523.48","23,637.25","23,523.48","261.85M","0.40%"
"09/12/2024","23,475.14","23,231.71","23,483.11","23,231.71","312.05M","1.14%"
"09/11/2024","23,211.17","22,999.41","23,211.17","22,829.24","265.75M","0.90%"
"09/10/2024","23,003.09","23,030.65","23,030.65","22,791.55","292.28M","-0.10%"
"09/09/2024","23,027.15","22,879.16","23,082.44","22,879.16","254.96M","1.08%"
"09/06/2024","22,781.43","22,997.17","23,119.34","22,679.86","250.14M","-0.90%"
"09/05/2024","22,988.28","23,070.19","23,173.82","22,976.27","209.59M","-0.23%"
"09/04/2024","23,040.76","22,986.23","23,146.03","22,981.35","228.75M","-0.01%"
"09/03/2024","23,042.45","23,282.33","23,282.33","22,976.55","312.30M","-1.30%"
"08/30/2024","23,346.18","23,219.61","23,352.98","23,148.48","314.44M","0.51%"
"08/29/2024","23,227.49","23,174.56","23,336.93","23,174.56","228.79M","0.43%"
"08/28/2024","23,126.98","23,230.59","23,239.43","23,063.68","220.34M","-0.57%"
"08/27/2024","23,259.96","23,281.27","23,315.38","23,185.74","204.09M","-0.38%"
"08/26/2024","23,348.97","23,304.32","23,413.95","23,304.32","211.21M","0.27%"
"08/23/2024","23,286.08","23,100.66","23,342.62","23,100.66","200.27M","1.08%"
"08/22/2024","23,037.47","23,092.18","23,110.20","22,983.11","214.22M","-0.36%"
"08/21/2024","23,121.73","23,025.22","23,125.86","23,025.22","175.40M","0.37%"
"08/20/2024","23,037.44","23,117.07","23,131.34","22,994.27","205.28M","-0.34%"
"08/19/2024","23,116.39","23,039.22","23,192.49","23,039.22","258.28M","0.27%"
"08/16/2024","23,054.61","23,015.23","23,070.60","22,984.44","182.35M","0.10%"
"08/15/2024","23,032.72","22,877.62","23,074.55","22,877.62","208.22M","1.20%"
"08/14/2024","22,760.01","22,620.94","22,763.69","22,601.87","229.00M","0.63%"
"08/13/2024","22,618.18","22,439.73","22,620.48","22,439.73","218.02M","0.98%"
"08/12/2024","22,398.93","22,341.42","22,452.70","22,322.76","245.70M","0.39%"
"08/09/2024","22,311.30","22,245.38","22,324.86","22,131.01","193.47M","0.39%"
"08/08/2024","22,225.61","21,949.85","22,288.79","21,949.85","207.74M","1.58%"
"08/07/2024","21,880.95","22,199.94","22,267.16","21,835.69","260.26M","-0.45%"
"08/06/2024","21,979.36","22,013.86","22,063.31","21,659.26","322.34M","-1.12%"
"08/02/2024","22,227.63","22,557.34","22,557.34","22,020.18","293.20M","-2.18%"
"08/01/2024","22,723.21","23,105.29","23,123.89","22,622.00","253.15M","-1.68%"
"07/31/2024","23,110.81","22,906.55","23,209.68","22,906.55","255.76M","1.25%"
"07/30/2024","22,824.67","22,787.24","22,900.38","22,775.46","188.74M","0.20%"
"07/29/2024","22,779.57","22,836.81","22,877.33","22,703.79","173.01M","-0.15%"
"07/26/2024","22,814.81","22,683.88","22,843.22","22,683.88","174.46M","0.91%"
"07/25/2024","22,608.03","22,597.09","22,719.12","22,463.96","212.78M","-0.14%"
"07/24/2024","22,639.57","22,756.17","22,844.82","22,639.57","194.14M","-0.76%"
"07/23/2024","22,813.75","22,870.75","22,871.13","22,771.14","156.54M","-0.26%"
"07/22/2024","22,872.65","22,742.56","22,892.33","22,700.88","209.07M","0.80%"
"07/19/2024","22,690.39","22,676.54","22,770.39","22,616.17","157.26M","-0.16%"
"07/18/2024","22,726.76","22,857.18","22,888.31","22,648.90","230.48M","-0.54%"
"07/17/2024","22,851.17","22,914.84","22,952.71","22,808.17","197.70M","-0.63%"
"07/16/2024","22,995.39","22,810.07","22,996.14","22,757.67","190.78M","1.07%"
"07/15/2024","22,751.68","22,693.69","22,818.42","22,633.24","200.94M","0.34%"
"07/12/2024","22,673.52","22,571.24","22,750.33","22,571.24","187.32M","0.57%"
"07/11/2024","22,544.13","22,399.77","22,574.65","22,399.77","228.30M","0.87%"
"07/10/2024","22,350.23","22,074.15","22,354.11","22,074.15","242.27M","1.40%"
"07/09/2024","22,042.50","22,098.97","22,113.70","22,028.36","175.44M","-0.38%"
"07/08/2024","22,126.13","22,048.11","22,133.61","21,997.58","179.36M","0.30%"
"07/05/2024","22,059.03","22,277.54","22,288.90","22,059.03","225.36M","-0.83%"
"07/04/2024","22,244.02","22,225.05","22,286.98","22,224.65","69.90M","0.09%"
"07/03/2024","22,223.67","22,003.65","22,273.93","22,003.65","166.71M","1.23%"
"07/02/2024","21,953.80","21,850.36","21,955.65","21,802.33","272.32M","0.36%"
